t,u1,u2,u3,f1,f2
0.07200720072007201,1.0254679,0.8324922,0.38099647,0.31113392,0.39429104
0.07300730073007301,1.0257766,0.83288306,0.37929058,0.30985427,0.39253023
0.074007400740074,1.0260834,0.8332726,0.37758344,0.3085723,0.3907671
0.075007500750075,1.0263901,0.8336608,0.3758744,0.30728704,0.38900065
0.07600760076007601,1.0266956,0.83404666,0.3741634,0.3059992,0.3872313
0.07700770077007701,1.0269989,0.83443123,0.37245163,0.3047093,0.38546026
0.078007800780078,1.0273011,0.83481383,0.37073845,0.30341685,0.38368672
0.07900790079007901,1.0276023,0.8351948,0.36902392,0.30212176,0.3819106
0.08000800080008001,1.0279024,0.8355735,0.3673084,0.30082464,0.38013268
0.081008100810081,1.0282007,0.8359511,0.36559135,0.2995247,0.37835222
0.082008200820082,1.0284982,0.83632636,0.36387342,0.2982226,0.37656942
0.08300830083008301,1.0287939,0.83669996,0.3621539,0.29691815,0.3747847
0.08400840084008401,1.029089,0.83707196,0.36043248,0.29561082,0.37299708
0.085008500850085,1.0293822,0.8374419,0.35871094,0.29430196,0.37120834
0.086008600860086,1.0296739,0.8378106,0.3569871,0.2929901,0.36941662
0.08700870087008701,1.0299648,0.83817714,0.35526237,0.29167616,0.36762315
0.08800880088008801,1.0302544,0.8385421,0.35353595,0.29035962,0.36582702
0.089008900890089,1.0305427,0.8389049,0.3518092,0.28904134,0.36402994
0.09000900090009001,1.030829,0.83926654,0.35008118,0.28772074,0.3622308
0.09100910091009101,1.0311145,0.8396258,0.34835118,0.28639758,0.36042893
0.09200920092009202,1.0313989,0.8399838,0.34662014,0.28507215,0.35862532
0.093009300930093,1.0316814,0.84033924,0.34488708,0.28374442,0.35681903
0.09400940094009401,1.031963,0.8406943,0.34315428,0.28241462,0.35501203
0.09500950095009501,1.0322433,0.84104615,0.34141982,0.2810831,0.3532031
0.096009600960096,1.0325218,0.84139687,0.33968416,0.27974907,0.3513922
0.09700970097009701,1.0327994,0.8417456,0.33794552,0.27841225,0.34957814
0.09800980098009801,1.0330762,0.84209275,0.33620727,0.2770739,0.34776312
0.09900990099009901,1.0333512,0.84243804,0.3344675,0.2757332,0.34594655
0.1000100010001,1.033624,0.842782,0.3327264,0.27439046,0.3441281
0.10101010101010101,1.0338963,0.8431234,0.3309844,0.27304587,0.34230825
0.10201020102010201,1.0341673,0.84346384,0.32924122,0.2716988,0.34048665
0.10301030103010302,1.0344365,0.8438013,0.32749668,0.27035028,0.33866328
0.104010401040104,1.0347059,0.84413826,0.3257512,0.26899898,0.33683813
0.10501050105010501,1.0349724,0.8444727,0.32400432,0.2676461,0.3350116
0.10601060106010601,1.0352383,0.8448061,0.32225558,0.2662907,0.33318263
0.10701070107010702,1.035502,0.8451366,0.32050613,0.26493403,0.33135295
0.10801080108010801,1.0357654,0.84546626,0.31875637,0.263575,0.32952192
0.10901090109010901,1.0360265,0.8457942,0.31700447,0.26221374,0.32768887
0.11001100110011001,1.0362867,0.84611976,0.31525102,0.26085067,0.32585412
0.11101110111011102,1.0365462,0.84644336,0.31349704,0.25948587,0.3240181
0.11201120112011201,1.0368034,0.84676534,0.31174174,0.2581192,0.32218084
0.11301130113011301,1.0370597,0.8470859,0.3099863,0.25675076,0.3203428
0.11401140114011402,1.0373147,0.8474048,0.30822852,0.2553799,0.3185023
0.115011501150115,1.0375686,0.8477217,0.3064691,0.25400695,0.31666005
0.11601160116011601,1.0378207,0.84803677,0.3047095,0.25263277,0.31481758
0.11701170117011701,1.0380719,0.8483499,0.30294842,0.25125638,0.3129732
